Hebrew,English,Safe,Hebrew_st,Hebrew_e,English_st,English_e
", ג'ול ורנס כתב פעם","Jules Verne once wrote,",True,"00:01:05,990","00:01:07,920","00:01:06,109","00:01:07,444"
",שים שתי ספינות בים הפתוח""","""Put two ships in the open sea",True,"00:01:07,920","00:01:10,420","00:01:08,027","00:01:10,989"
",ללא רוח או שפל"", .""מתישהו, הן ייפגשו","without wind or tide,, they will come together.""",True,"00:01:10,420","00:01:13,760","00:01:11,156","00:01:13,575"
".ככה הוריי הכירו, .כמו שתי ספינות שנועדו להיפגש","That's how my parents met., Like two ships destined for each other.",True,"00:01:35,850","00:01:40,520","00:01:36,181","00:01:40,268"
".זה בסדר, זה בסדר",It's okay.,True,"00:01:54,400","00:01:55,600","00:01:54,282","00:01:55,283"
.לאט. לאט. לא נשמת,Easy. You weren't breathing.,True,"00:02:03,370","00:02:07,370","00:02:03,541","00:02:07,629"
.הם הגיעו מעולמות שונים,They were from different worlds.,True,"00:02:21,090","00:02:23,590","00:02:21,267","00:02:23,353"
",אבל החיים מפגישים בין אנשים, .כמו הים","But life, like the sea,, has a way of bringing people together.",True,"00:02:24,960","00:02:29,070","00:02:25,063","00:02:29,317"
תיכננתי להכין חביתה,I was gonna make you some eggs.,True,"00:03:15,180","00:03:16,920","00:03:15,363","00:03:16,781"
"?אל תאכלי את הכלב, בסדר","Just don't eat my dog, okay?",True,"00:03:19,290","00:03:20,680","00:03:19,242","00:03:20,577"
.זה בסדר,It's okay.,True,"00:03:24,290","00:03:25,440","00:03:24,247","00:03:25,331"
.הכנתי תה,I made tea.,True,"00:03:25,620","00:03:27,160","00:03:25,665","00:03:27,083"
".קדימה, תנסי","Go on, try it.",True,"00:03:32,130","00:03:33,630","00:03:32,046","00:03:33,423"
.זה יעשה לך טוב,It'll make you better.,True,"00:03:33,630","00:03:34,900","00:03:33,673","00:03:34,757"
?אז... מי את,"So, uh, who are you?",True,"00:03:55,820","00:03:57,960","00:03:55,904","00:03:57,822"
.אטלנה,Atlanna.,True,"00:04:02,190","00:04:03,730","00:04:02,118","00:04:03,536"
.מלכת אטלנטיס,Queen of Atlantis.,True,"00:04:05,500","00:04:07,230","00:04:05,538","00:04:07,165"
