Hebrew,English,Safe,Hebrew_st,Hebrew_e,English_st,English_e
!גול,Goal!,True,"00:02:11,928","00:02:13,367","00:02:12,345","00:02:13,835"
",מה שזה לא יהיה, .זה רחוק מכאן","I heard it, Manny., Whatever it is, it's miles away.",True,"00:03:27,611","00:03:29,011","00:03:26,887","00:03:29,219"
"?פיצ'ס, את בסדר","Peaches, are you all right?",True,"00:03:29,118","00:03:31,076","00:03:29,389","00:03:30,720"
"שניכם הייתם אמורים להיות, !דודים אחראיים","You two were supposed to be, responsible uncles!",True,"00:03:42,116","00:03:44,616","00:03:42,469","00:03:44,869"
"מה? לא ראיתי את פיצ'ס מתגנבת, .לפני 15 או 20 דקות","What? I didn't see Peaches sneak off, maybe 15 or 20 minutes ago.",True,"00:03:44,728","00:03:48,113","00:03:44,938","00:03:48,169"
.או שהיא הלכה עם לואיס למפלים,Or that she went with Louis to the falls.,True,"00:03:48,120","00:03:50,232","00:03:48,241","00:03:50,402"
"והדבר הבא שאתה יודע, .זה שהיא מכורה לפירות יער","and the next thing you know,, she's addicted to berries.",True,"00:04:00,363","00:04:03,054","00:04:00,487","00:04:02,682"
".אני יודע, זה מה שמדאיג אותי",I know. That's what worries me.,True,"00:04:08,832","00:04:11,472","00:04:08,828","00:04:11,991"
!קדימה,Come on!,True,"00:04:14,778","00:04:16,078","00:04:14,668","00:04:15,692"
"אני חפרפרת, הראש שלי אמור, להיות מתחת לאדמה. והרעיון שלי","I'm a molehog., My head's supposed to be underground.",True,"00:04:25,088","00:04:28,703","00:04:25,145","00:04:28,376"
"להינות הוא לא להסתכן במוות, .כך שאת יכולה לפגוש ממותה חמודה","And my idea of fun isn't risking death, so that you can meet some cute mammoth.",True,"00:04:28,909","00:04:32,672","00:04:28,448","00:04:32,680"
"כן, יש לי את המקום שלי והוא, .שם אותי בו... תודה","Yes, there's my place,, and you just put me in it, thank you.",True,"00:04:51,134","00:04:53,534","00:04:51,204","00:04:53,638"
...אז... שאני פשוט אחכה כאן או,"So, should I just wait here, or...",True,"00:04:59,282","00:05:04,327","00:04:59,546","00:05:03,812"
".כן, את לא מפחידה אותי, אמא טבע","Yeah, you don't scare me, Mother Nature!",True,"00:05:21,705","00:05:23,893","00:05:21,534","00:05:23,968"
