Hebrew,English,Safe,Hebrew_st,Hebrew_e,English_st,English_e
".אמריקאי, קולונל","(IN GERMAN) An American, Colonel.",True,"00:01:13,026","00:01:14,236","00:01:13,031","00:01:14,241"
"?מרגל, היית לבד","Spy, you were alone?",True,"00:01:25,831","00:01:28,834","00:01:25,836","00:01:28,755"
.אני אוהב להיות לבד,I like to be alone.,True,"00:01:28,917","00:01:30,294","00:01:28,839","00:01:30,340"
?למה באת הנה,What did you come here for?,True,"00:01:31,712","00:01:33,380","00:01:31,717","00:01:33,385"
.יש לכם הרבה דברים יפים,You got a lot of nice stuff.,True,"00:01:34,256","00:01:36,800","00:01:34,261","00:01:36,722"
.דברים של אחרים,Other people's stuff.,True,"00:01:36,884","00:01:38,177","00:01:36,889","00:01:38,182"
?למנצחים,To the victor?,True,"00:01:43,265","00:01:44,433","00:01:43,270","00:01:44,438"
.ברלין בהריסות,Berlin's in rubble.,True,"00:01:45,434","00:01:46,810","00:01:45,439","00:01:46,899"
.הפיהרר מסתתר,The Führer's in hiding.,True,"00:01:46,894","00:01:48,729","00:01:46,982","00:01:48,734"
.הפסדתם,You lost.,True,"00:01:50,105","00:01:51,648","00:01:49,943","00:01:51,653"
.קחו אותו למעלה,(IN GERMAN) Take him upstairs.,True,"00:01:55,360","00:01:56,862","00:01:55,574","00:01:57,034"
!רק שנייה. חבר'ה,"Hey, wait a second. Guys!",True,"00:01:59,740","00:02:00,782","00:01:59,745","00:02:00,829"
.עצרו! אני חייב לדבר עם המפקד,Stop! I must speak to the commander.,True,"00:02:03,243","00:02:04,578","00:02:03,081","00:02:04,583"
!קולונל. מצאתי את זה,Colonel. I found it!,True,"00:02:04,870","00:02:06,747","00:02:04,875","00:02:06,752"
.תעשו כדבריו. תפתחו את זה,Do as he says. Open it.,True,"00:02:08,831","00:02:10,334","00:02:08,836","00:02:10,214"
.הרומח של לונגינוס,"DOCTOR,  The Lance of Longinus.",True,"00:02:24,598","00:02:26,600","00:02:24,603","00:02:26,605"
.הלהב שהקיז את דמו של ישו,The blade that drew Christ's blood.,True,"00:02:28,143","00:02:30,437","00:02:28,148","00:02:30,442"
.הרומח הקדוש,The Holy Lance.,True,"00:02:31,313","00:02:32,564","00:02:31,318","00:02:32,319"
.הרכבת לברלין מחכה,The train to Berlin is waiting.,True,"00:02:47,663","00:02:48,789","00:02:47,668","00:02:49,044"
!חפשו ביערות,Search the woods!,True,"00:02:50,541","00:02:51,375","00:02:50,546","00:02:51,296"
!זוזו! זוזו! אנחנו יוצאים,Go! Go! Go! We're moving out!,True,"00:02:55,546","00:02:57,047","00:02:55,551","00:02:57,052"
!זריז,On the double!,True,"00:02:57,339","00:02:58,173","00:02:57,344","00:02:58,095"
".ספר לנו את הסיפור שלך, או שתמות","Tell us your story, or die.",True,"00:03:27,828","00:03:29,913","00:03:27,833","00:03:29,960"
.סיפור,Story. Um...,True,"00:03:30,747","00:03:31,582","00:03:30,752","00:03:32,087"
".טוב, טוב","Okay, okay.",True,"00:03:32,958","00:03:34,877","00:03:32,963","00:03:34,798"
...ובכן,Well... (LAUGHS DRYLY),True,"00:03:34,960","00:03:35,919","00:03:34,965","00:03:36,717"
...הכול התחיל,it all started,True,"00:03:36,795","00:03:38,255","00:03:36,800","00:03:38,260"
"של ילדים טיפשים ותכולי עיניים, שהחליטו לשלב כוחות","of stupid blue-eyed boys, decided to join hands together",True,"00:03:43,093","00:03:47,723","00:03:43,098","00:03:47,728"
.לא,(STRAINS),True,"00:04:11,205","00:04:12,206","00:04:11,210","00:04:12,252"
.זה התיק של האמריקאי,This is the American's bag.,True,"00:05:34,746","00:05:35,706","00:05:34,751","00:05:35,836"
?מה עשיתי,What have I done?,True,"00:05:37,708","00:05:38,667","00:05:37,713","00:05:38,672"
.תביאו אותו לקרון שלי,Bring him to my carriage.,True,"00:05:43,338","00:05:44,590","00:05:43,260","00:05:44,595"
.תמשיך לשבת,"OFFICER,  Stay seated.",True,"00:06:24,838","00:06:26,131","00:06:24,843","00:06:26,136"
...אז,"COLONEL,  So...",True,"00:06:27,007","00:06:28,342","00:06:27,012","00:06:28,347"
?אתה צפר,you are a birdwatcher?,True,"00:06:31,220","00:06:33,138","00:06:31,225","00:06:33,143"
",כן. בגלל ההפצצות","Yes. Because of the bombing,",True,"00:06:36,808","00:06:38,685","00:06:36,813","00:06:38,690"
.תפסנו את השותף שלך,"COLONEL,  We caught your accomplice.",True,"00:06:45,567","00:06:47,277","00:06:45,572","00:06:47,282"
.האמריקאי,The American.,True,"00:06:48,487","00:06:49,988","00:06:48,492","00:06:49,993"
!אוי ואבוי,"(IN ENGLISH) Oh, my!",True,"00:07:55,637","00:07:56,555","00:07:55,934","00:07:57,186"
!רד ממני,"INDIANA,  Get off of me!",True,"00:08:22,789","00:08:23,957","00:08:22,794","00:08:24,004"
?מי שלח אותך,Who sent you?,True,"00:08:57,616","00:08:59,243","00:08:57,621","00:08:59,164"
?מה הייתה משימתך,What was your mission?,True,"00:08:59,326","00:09:00,577","00:08:59,331","00:09:00,499"
.קוראים לי בזיל שו,My name is Basil Shaw.,True,"00:09:02,830","00:09:05,123","00:09:02,835","00:09:05,128"
.אני פרופסור באוקספורד,I'm a professor at Oxford.,True,"00:09:06,375","00:09:08,126","00:09:06,380","00:09:08,340"
.ארכאולוג,An archeologist.,True,"00:09:08,210","00:09:09,962","00:09:08,423","00:09:09,842"
.הנה אתה,"INDIANA,  There you are.",True,"00:09:17,427","00:09:18,470","00:09:17,349","00:09:18,433"
.זה דחוף,It's urgent.,True,"00:09:27,437","00:09:29,314","00:09:27,526","00:09:28,527"
"אני מבטיח שלעולם, .לא תראה שוב את ילדתך, מר שו","I guarantee you will never see, your child again, Mr. Shaw.",True,"00:09:34,236","00:09:36,947","00:09:34,241","00:09:36,952"
.חיפשנו אותו,We were looking for it.,True,"00:10:10,856","00:10:11,690","00:10:10,861","00:10:12,279"
?למה,Why?,True,"00:10:12,774","00:10:13,775","00:10:12,779","00:10:13,780"
?בגלל כוחו,Because of its power?,True,"00:10:15,359","00:10:16,360","00:10:15,365","00:10:16,366"
.אין לו כוח,(CHUCKLES) It has no power.,True,"00:10:17,528","00:10:20,198","00:10:17,534","00:10:20,204"
.זה בקשר לרומח,It's about the Lance.,True,"00:10:30,875","00:10:31,918","00:10:30,881","00:10:31,924"
.היה לי רק רגע להסתכל עליו,I only had a moment to look at it.,True,"00:11:18,673","00:11:20,049","00:11:18,679","00:11:20,055"
...הרומח,The Lance...,True,"00:11:26,514","00:11:27,348","00:11:26,520","00:11:27,229"
.הוא מזויף,(IN ENGLISH) It's a fake.,True,"00:11:29,934","00:11:31,602","00:11:29,940","00:11:31,650"
.הוא מזויף,(IN GERMAN) It's a fake.,True,"00:11:32,270","00:11:33,104","00:11:32,276","00:11:33,068"
?מזויף,A fake?,True,"00:11:33,688","00:11:34,647","00:11:33,527","00:11:34,653"
.הלהב עשוי מסגסוגת,The blade is an alloy.,True,"00:11:36,899","00:11:38,734","00:11:36,905","00:11:38,448"
",בן 50 שנה","Fifty years old,",True,"00:11:38,818","00:11:39,819","00:11:38,615","00:11:39,950"
.התחריטים חדשים. זו רפליקה,the engravings recent. It's a replica.,True,"00:11:39,902","00:11:42,280","00:11:40,158","00:11:42,286"
.הלך עלינו,"COLONEL,  We're dead.",True,"00:11:42,488","00:11:43,406","00:11:42,494","00:11:43,495"
.רעמסס השני,Ramesses II.,True,"00:11:49,287","00:11:50,830","00:11:49,293","00:11:50,836"
