Hebrew,English,Safe,Hebrew_st,Hebrew_e,English_st,English_e
.באורח נס,miraculously.,True,"00:01:03,534","00:01:04,867","00:01:03,523","00:01:04,899"
",לאחר 25,000 מיילים ימיים","After 25, 000 nautical miles,",True,"00:01:11,542","00:01:14,086","00:01:11,072","00:01:14,200"
.ונותרה בלתי מזוהה לחלוטין,and remained completely undetected.,True,"00:01:18,882","00:01:21,802","00:01:19,080","00:01:21,833"
"יכולות החמקנות של הפודקובה, .התעלו על כל הציפיות","The Podkova's stealth capability has, exceeded all expectations.",True,"00:01:23,637","00:01:28,642","00:01:23,668","00:01:28,881"
מכונת ההרג המפחידה ביותר,The most fearsome killing machine,True,"00:01:44,366","00:01:46,702","00:01:44,397","00:01:46,733"
.שהאדם המציא אי פעם,ever devised by man.,True,"00:01:46,785","00:01:48,996","00:01:46,816","00:01:48,651"
.ובלתי אפשרי למצוא אותנו,And we are impossible to find.,True,"00:01:51,039","00:01:54,751","00:01:51,112","00:01:54,282"
",קפטן, זיהינו קשר תת-ימי, סמיון-83","Captain, we have a submerged contact,, designated Semyon-83,",True,"00:01:57,671","00:02:00,716","00:01:57,702","00:02:00,747"
.פולט טונים של צוללת וירג'יניה אמריקאית,"exhibiting tonals of, a US Virginia-class submarine.",True,"00:02:00,799","00:02:03,510","00:02:00,830","00:02:03,499"
".ברינג 130, מתקדמת לעברנו","Bearing 130°, drawing forward.",True,"00:02:03,594","00:02:05,971","00:02:03,583","00:02:05,293"
".מפקד המשמרת, היכנסו לעמדות קרב בשקט","Chief of the Watch,, man battle stations silently.",True,"00:02:07,139","00:02:09,140","00:02:06,669","00:02:09,172"
".העומק 50 מטרים. מרחק מקרקעית, 72 מטרים","Ship's depth, 50 meters., Bottom, 72 meters.",True,"00:02:11,685","00:02:14,146","00:02:11,716","00:02:14,218"
".מרחק לכיפת הקרח, 21 מטרים","Clearance to the ice canopy, 21 meters.",True,"00:02:14,229","00:02:16,440","00:02:14,302","00:02:16,471"
"?מרחק למים העמוקים, .שני קילומטרים-","- Distance to deep water?, - Two kilometers.",True,"00:02:16,523","00:02:18,525","00:02:16,554","00:02:18,514"
.הצוק האלאוטי עוד שש דקות,Aleutian Precipice in six minutes.,True,"00:02:18,609","00:02:20,319","00:02:18,598","00:02:20,391"
