Hebrew,English,Safe,Hebrew_st,Hebrew_e,English_st,English_e
".תסתכל עליי, בן","Look at me, son.",True,"00:03:41,340","00:03:42,760","00:03:41,180","00:03:42,932"
.לא אכפת לי,I don't care.,True,"00:03:45,720","00:03:46,880","00:03:45,518","00:03:46,853"
.הם יודעים שאתה פה,They know you're here.,True,"00:03:53,060","00:03:54,350","00:03:52,859","00:03:54,444"
",לא, בחיים לא אפסיק",I won't! I'll never stop.,True,"00:04:00,270","00:04:02,730","00:04:00,283","00:04:02,535"
"ואם תשליך אותי מהספינה, .אחזור ישר","And if you throw me over,, I'll come straight back.",True,"00:04:02,980","00:04:06,070","00:04:02,702","00:04:05,914"
"אתה לא רואה שקללה, ?כובלת אותי לספינה הזאת","Don't you see, I'm cursed to this ship?",True,"00:04:07,860","00:04:09,739","00:04:07,624","00:04:09,042"
.בגלל זה אני פה,That's why I'm here.,True,"00:04:09,740","00:04:11,029","00:04:09,626","00:04:10,710"
"אני חושב שיש לי דרך, ,להפר את הקללה שלך","I think I know a way, to break your curse.",True,"00:04:11,030","00:04:13,030","00:04:10,877","00:04:12,754"
"קלשון פוסידון, .יכול לשבור את הקללה שלך","The Trident of Poseidon, can break your curse.",True,"00:04:19,670","00:04:22,250","00:04:19,594","00:04:22,138"
.מצאתי אותך,I found you.,True,"00:04:30,550","00:04:31,890","00:04:30,313","00:04:31,773"
.זאת סתם אגדה,It's just a tale.,True,"00:04:32,680","00:04:34,060","00:04:32,565","00:04:33,942"
"כמו האגדות עליך, ?ועל קפטן ג'ק ספארו","Like the tales of you, and Captain Jack Sparrow?",True,"00:04:34,600","00:04:37,060","00:04:34,442","00:04:36,611"
.אני רוצה שתחזור הביתה,I want you to come home.,True,"00:04:47,490","00:04:49,200","00:04:47,330","00:04:49,749"
...הנרי,Henry...,True,"00:04:56,540","00:04:57,450","00:04:56,339","00:04:58,132"
.אני מצטער,I'm sorry.,True,"00:04:58,500","00:04:59,620","00:04:58,257","00:04:59,842"
.זה הגורל שלי,This is my fate.,True,"00:05:06,090","00:05:07,460","00:05:05,932","00:05:08,184"
".אני אוהב אותך, בן","I love you, son.",True,"00:05:16,930","00:05:18,140","00:05:16,693","00:05:18,820"
!תשמרו על איזון,Keep even keel.,True,"00:06:08,190","00:06:09,780","00:06:08,077","00:06:10,038"
!תדחפו נגד כיוון הרוח,Haul in on the lee side!,True,"00:06:10,360","00:06:12,200","00:06:10,204","00:06:12,749"
",מהר יותר, !עכברי ירכתיים עלובים","Faster,, you pathetic bilge rats!",True,"00:06:13,070","00:06:15,990","00:06:12,915","00:06:15,918"
"תשאבו מים מהירכתיים, .אל פתח הניקוז","You'll pump the bilge, and fill the scuppers.",True,"00:06:16,200","00:06:18,949","00:06:16,085","00:06:18,755"
!אנחנו רודפים אחרי שודדי ים,We're chasing down pirates!,True,"00:06:18,950","00:06:21,289","00:06:18,921","00:06:20,840"
".הנרי, תחזור לפה","Henry, get back here.",True,"00:06:21,290","00:06:22,869","00:06:21,007","00:06:22,759"
"אתה לא רוצה, .שיעיפו אותך מספינה נוספת","You don't wanna get kicked off, another ship.",True,"00:06:22,870","00:06:25,039","00:06:22,925","00:06:24,761"
.אלוהים,My God.,True,"00:06:37,720","00:06:38,720","00:06:37,398","00:06:38,399"
"הזהרתי אותך, .לא לעזוב את עמדתך, ילד","I warned you, of leaving your post, boy.",True,"00:06:39,390","00:06:41,349","00:06:39,233","00:06:41,194"
".היא נכנסת, המפקד","She's going in, sir.",True,"00:06:52,280","00:06:53,819","00:06:52,246","00:06:53,748"
.עקבו אחריה,Chase her down.,True,"00:06:55,490","00:06:56,700","00:06:55,374","00:06:56,459"
"!לא, אל תעשה את זה","No, don't do it.",True,"00:07:00,740","00:07:02,040","00:07:00,630","00:07:02,632"
!אל תעשו את זה,Don't do it!,True,"00:07:03,370","00:07:04,499","00:07:03,257","00:07:04,258"
".המפקד, הסתכל במפות שלך","Sir, look at your charts.",True,"00:07:06,960","00:07:07,919","00:07:06,803","00:07:08,012"
"אני מאמין שאתה מוביל אותנו, .אל משולש השטן","I believe you're sailing us, into the Devil's Triangle.",True,"00:07:07,920","00:07:10,339","00:07:08,179","00:07:10,223"
"?שמעתם, אנשים","You hear this, men?",True,"00:07:10,340","00:07:11,500","00:07:10,389","00:07:11,724"
"איש היבשה הזה, .מאמין למיתוס מלחים ישן","This landsman believes, an old sailor's myth.",True,"00:07:11,510","00:07:14,670","00:07:11,849","00:07:14,435"
",המפקד, סמוך על דבריי, .שנה את מסלולך","Sir, trust in what I say., Change your course.",True,"00:07:27,440","00:07:29,609","00:07:27,281","00:07:29,784"
.זאת בגידה,This is treason.,True,"00:07:55,090","00:07:56,630","00:07:54,976","00:07:56,811"
".לא... -תכלאו אותו, !אנחנו נכנסים","- Lock him up. We're going in!, - No!",True,"00:07:59,010","00:08:01,680","00:07:59,522","00:08:01,607"
!הדקו את החבלים,Belay that starboard brace.,True,"00:08:01,773","00:08:04,067","00:08:01,774","00:08:04,360"
"זאת הייתה, .ההזדמנות האחרונה שלך, טרנר","This was, your last chance, Turner.",True,"00:08:08,310","00:08:10,060","00:08:08,114","00:08:10,366"
.לסיפון,On deck.,True,"00:08:16,490","00:08:17,610","00:08:16,330","00:08:17,373"
.ג'ק ספארו,Jack Sparrow.,True,"00:08:26,410","00:08:28,170","00:08:26,215","00:08:28,676"
.הוא מת,He's dead.,True,"00:08:28,960","00:08:30,130","00:08:28,843","00:08:30,052"
"קבור בקבר לא מסומן, .בבית קברות על האי סנט מרטין","Buried in an unmarked grave, on the Isle of Saint Martin.",True,"00:08:30,500","00:08:33,500","00:08:30,219","00:08:33,890"
!ספינה מימין,Ship to starboard!,True,"00:09:09,410","00:09:10,620","00:09:09,217","00:09:10,635"
!פתחו באש,Open fire!,True,"00:09:30,600","00:09:32,400","00:09:30,905","00:09:32,031"
"!קדימה, חיילים! אש",Open fire!,True,"00:09:33,230","00:09:35,229","00:09:33,741","00:09:35,159"
!תשמרו על הסיפון,Secure the deck!,True,"00:09:55,170","00:09:57,000","00:09:55,429","00:09:56,764"
.מוות,Death.,True,"00:10:59,440","00:11:00,780","00:10:59,201","00:11:00,953"
.ג'ק ספארו,Jack Sparrow.,True,"00:11:55,040","00:11:56,830","00:11:54,882","00:11:56,759"
?אתה מכיר את שודד הים הזה,Do you know this pirate?,True,"00:12:02,670","00:12:04,460","00:12:02,431","00:12:04,183"
"דן אותנו, .לגיהינום עלי אדמות הזה","condemned us, to this hell on Earth.",True,"00:12:23,650","00:12:26,530","00:12:23,494","00:12:26,622"
"המפתח לבריחתנו, הוא ג'ק ספארו","The key to our escape, is Jack Sparrow...",True,"00:12:26,950","00:12:30,120","00:12:26,789","00:12:30,501"
"אני תמיד משאיר איש אחד בחיים, .שיספר את הסיפור","I always leave one man alive, to tell the tale.",True,"00:12:35,790","00:12:39,080","00:12:35,589","00:12:38,676"
תמצא את ספארו עבורי,Find Sparrow for me...,True,"00:12:39,580","00:12:42,000","00:12:39,552","00:12:42,346"
"תגיד לו, ,שאראה שוב את אור השמש","Tell him I will behold, the daylight again.",True,"00:12:49,130","00:12:53,350","00:12:48,936","00:12:53,274"
וביום הזה,And on that day...,True,"00:12:53,640","00:12:54,890","00:12:53,441","00:12:55,609"
?תגיד לו את זה,Would you say that to him?,True,"00:13:07,360","00:13:08,740","00:13:06,662","00:13:08,581"
.אבל מתים לא מספרים סיפורים,dead men tell no tales.,True,"00:13:14,410","00:13:16,490","00:13:14,295","00:13:16,630"
.מואשמת בעיסוק בכשופים,accused of practicing witchcraft.,True,"00:13:49,030","00:13:51,150","00:13:48,954","00:13:51,499"
"רק בעזרת יומן, מאב שמעולם לא הכרתי","with nothing but a diary from, the father I never knew...",True,"00:14:06,040","00:14:09,050","00:14:05,930","00:14:09,475"
"אני מודה שאמות, לפני שאוותר על החיפוש הזה","I confess that I will die, before I give up the search.",True,"00:14:12,430","00:14:16,220","00:14:12,353","00:14:16,148"
ואני מודה,And I confess...,True,"00:14:16,510","00:14:17,890","00:14:16,315","00:14:17,900"
",שבזמן דיברנו, .פרצתי את המנעול הזה","that while we've been talking,, I picked this lock.",True,"00:14:18,810","00:14:22,020","00:14:18,692","00:14:21,946"
"היום נחנוך, .את הבנק המלכותי של סנט מרטין","Today, we dedicate, the Royal Bank of Saint Martin.",True,"00:14:29,190","00:14:34,280","00:14:29,036","00:14:33,707"
"הכספת החדשה שלנו, בעובי של 12 סנטימטרים","Our new vault, is five inches thick...",True,"00:14:51,840","00:14:55,430","00:14:51,767","00:14:55,479"
.ושוקלת טון אימפריאלי,and weighs an imperial ton.,True,"00:14:55,760","00:14:58,180","00:14:55,646","00:14:57,773"
!מצאתי אותה! מצאתי אותה,I've got her! I've got her!,True,"00:14:58,640","00:15:00,559","00:14:58,607","00:15:00,192"
"!תעצרו אותה! היא שם, !זוזו מהדרך-","Stop her! She's there!, Get out of the way!",True,"00:15:07,690","00:15:10,360","00:15:07,575","00:15:10,536"
!זוז מדרכי,Get out of my way!,True,"00:15:10,650","00:15:12,030","00:15:10,744","00:15:11,954"
",עם הבנק הזה",With this bank...,True,"00:15:13,190","00:15:14,899","00:15:13,289","00:15:14,748"
"עיירת סנט מרטין, .נכנסת לעולם המודרני","the town of Saint Martin, enters the modern world.",True,"00:15:14,900","00:15:19,740","00:15:14,915","00:15:19,587"
".צר לי מאוד, אדוני, .המכשפה נמלטה מהאזיקים שלה-","- I'm so sorry, sir., - The witch escaped her chains.",True,"00:15:25,710","00:15:27,920","00:15:25,467","00:15:28,262"
"תמצא את המכשפה הזאת, .או שאתה תיתלה במקומה","Find that wicked lass,, or you'll swing in her place.",True,"00:15:29,210","00:15:32,710","00:15:29,013","00:15:32,308"
אין איש או צבא,No man nor an army...,True,"00:15:36,550","00:15:39,679","00:15:36,520","00:15:39,315"
