Hebrew,English,Safe,Hebrew_st,Hebrew_e,English_st,English_e
!סמיאגול,Sméagol!,True,"00:01:17,399","00:01:18,483","00:01:17,286","00:01:18,912"
!תפסתי,I've got one!,True,"00:01:19,068","00:01:20,318","00:01:19,079","00:01:20,414"
"!תפסתי דג, סמיאג. באמת","I've got a fish, Sméag. Sméagol!",True,"00:01:21,987","00:01:24,155","00:01:22,124","00:01:23,959"
!דיאגול,Déagol!,True,"00:01:35,459","00:01:37,252","00:01:35,470","00:01:37,306"
".תן לנו את זה, דיאגול, יקירי","Give us that, Déagol, my love.",True,"00:02:57,294","00:02:59,629","00:02:57,135","00:02:59,221"
?למה,Why?,True,"00:03:04,134","00:03:05,426","00:03:04,184","00:03:05,477"
...כי,Because...,True,"00:03:06,595","00:03:08,095","00:03:06,561","00:03:08,814"
.הם קיללו אותנו,They cursed us.,True,"00:05:00,045","00:05:01,963","00:04:59,591","00:05:02,511"
.רוצח,Murderer.,True,"00:05:03,132","00:05:04,424","00:05:02,677","00:05:04,054"
.גולום,Gollum.,True,"00:05:16,688","00:05:18,564","00:05:16,525","00:05:18,360"
".ואנחנו בכינו, חמדתי","And we wept, precious.",True,"00:05:22,652","00:05:25,154","00:05:22,030","00:05:25,033"
...בכינו כי היינו כל כך בודדים,We wept to be so alone.,True,"00:05:25,447","00:05:28,449","00:05:25,200","00:05:28,787"
...וכבר שכחנו את טעם הלחם,And we forgot the taste of bread...,True,"00:05:50,264","00:05:53,558","00:05:49,724","00:05:53,854"
...רחש העצים,the sound of trees...,True,"00:05:54,101","00:05:56,978","00:05:54,020","00:05:57,649"
.לחישת הרוח,the softness of the wind.,True,"00:05:58,898","00:06:01,316","00:05:58,525","00:06:01,736"
.שכחנו אפילו מה שמנו,We even forgot our own name.,True,"00:06:02,652","00:06:07,365","00:06:02,362","00:06:08,034"
!התעוררו,Wake up!,True,"00:07:07,011","00:07:08,678","00:07:06,843","00:07:09,095"
"?לא ישנת בכלל, אדון פרודו","Haven't you had any sleep, Mr. Frodo?",True,"00:07:22,443","00:07:24,527","00:07:22,192","00:07:25,278"
.אני ישנתי יותר מדי,I've gone and had too much.,True,"00:07:27,781","00:07:29,282","00:07:27,489","00:07:30,033"
.כבר מאוחר,Must be getting late.,True,"00:07:31,577","00:07:32,995","00:07:31,409","00:07:33,161"
.הימים הולכים ומחשיכים,The days are growing darker.,True,"00:07:40,378","00:07:42,421","00:07:40,293","00:07:42,379"
.חייבים ללכת. אין זמן,Must go! No time!,True,"00:07:51,890","00:07:54,141","00:07:51,763","00:07:54,015"
".אסור לבזבז זמן, טיפשון","No time to lose, silly.",True,"00:07:56,645","00:07:58,938","00:07:56,726","00:07:59,604"
.קח,Here.,True,"00:08:08,574","00:08:09,991","00:08:08,363","00:08:09,656"
?מה אתך,What about you?,True,"00:08:12,995","00:08:14,454","00:08:12,867","00:08:14,703"
".אני לא רעב, .לפחות לא ללחם הדרך","Oh, no, I'm not hungry., Leastways, not for lembas bread.",True,"00:08:14,830","00:08:18,416","00:08:14,869","00:08:18,248"
.סאם,Sam.,True,"00:08:18,960","00:08:20,460","00:08:18,832","00:08:20,208"
"אנחנו חייבים להיזהר, .שהלחם לא ייאזל לחלוטין","We have to be careful, or we're going to run out.",True,"00:08:27,301","00:08:29,803","00:08:27,173","00:08:30,051"
".תאכל, אדון פרודו","You go ahead and eat that, Mr. Frodo.",True,"00:08:32,349","00:08:34,600","00:08:32,220","00:08:35,140"
?למה,For what?,True,"00:08:41,274","00:08:42,566","00:08:41,062","00:08:42,272"
.למסע הביתה,The journey home.,True,"00:08:44,069","00:08:45,736","00:08:43,940","00:08:45,692"
".בואו, הוביטסים","Come, Hobbitses.",True,"00:08:53,704","00:08:55,121","00:08:53,533","00:08:55,869"
.אנחנו קרובים מאוד עכשיו,Very close now.,True,"00:08:57,541","00:08:59,126","00:08:57,245","00:08:59,122"
.קרובים מאוד למורדור,Very close to Mordor.,True,"00:08:59,460","00:09:02,212","00:08:59,289","00:09:02,542"
.אין פה מקומות בטוחים,No safe places here.,True,"00:09:03,006","00:09:04,840","00:09:02,709","00:09:05,378"
.זה טוב,It's good.,True,"00:10:00,106","00:10:01,398","00:10:00,100","00:10:01,810"
.בהחלט מהפלך,Definitely from the Shire.,True,"00:10:02,817","00:10:04,860","00:10:02,727","00:10:04,479"
.עלה לונגבוטום,Longbottom Leaf.,True,"00:10:06,821","00:10:08,989","00:10:06,689","00:10:08,817"
"אני מרגיש כאילו שבתי, ...לפונדק הדרקון הירוק","I feel like I'm back at, The Green Dragon.",True,"00:10:14,370","00:10:18,957","00:10:14,155","00:10:18,493"
"מרים את הרגליים על ספסל, .לאחר יום עבודה קשה","Putting my feet up on a settle, after a hard day's work.",True,"00:10:23,088","00:10:27,300","00:10:22,997","00:10:27,585"
"אלא שמעולם לא היה לך, ...יום עבודה קשה","Only, you've never done, a hard day's work.",True,"00:10:28,677","00:10:31,763","00:10:28,169","00:10:31,631"
"...ברוכים הבאים, רבותיי","Welcome, my lords...",True,"00:10:44,693","00:10:47,445","00:10:44,435","00:10:47,480"
.לאייזנגארד,to Isengard!,True,"00:10:47,822","00:10:49,572","00:10:47,647","00:10:49,899"
אנחנו יושבים בשדה ניצחון,We are sitting on a field of victory...,True,"00:10:59,668","00:11:02,628","00:10:59,367","00:11:02,579"
.החזיר המעושן טוב במיוחד,The salted pork is particularly good.,True,"00:11:07,467","00:11:10,719","00:11:07,292","00:11:11,129"
?חזיר מעושן,Salted pork?,True,"00:11:11,847","00:11:13,305","00:11:11,671","00:11:14,048"
"שלקח על עצמו, .את ניהול אייזנגארד","who's taken over management, of Isengard.",True,"00:11:19,104","00:11:22,106","00:11:18,845","00:11:21,681"
...אדון גנדאלף הצעיר,Young Master Gandalf.,True,"00:11:24,360","00:11:27,070","00:11:24,225","00:11:27,228"
.אני שמח שבאת,I'm glad you've come.,True,"00:11:27,613","00:11:31,241","00:11:27,395","00:11:31,983"
",עץ ומים, חיה ואבן, .בהם יש ביכולתי לשלוט","Wood and water, stock and stone, I can master.",True,"00:11:32,577","00:11:36,621","00:11:32,150","00:11:36,571"
...אבל פה עלינו להתמודד עם קוסם,But there is a wizard to manage here...,True,"00:11:36,914","00:11:40,125","00:11:36,738","00:11:40,408"
.הכלוא במגדלו,locked in his tower.,True,"00:11:40,626","00:11:42,669","00:11:40,575","00:11:42,577"
.הראה את עצמך,Show yourself.,True,"00:11:45,089","00:11:46,631","00:11:45,246","00:11:46,581"
.היזהר,Be careful.,True,"00:11:46,799","00:11:48,008","00:11:46,831","00:11:48,541"
".אפילו במפלתו, סארומן מסוכן","Even in defeat, Saruman is dangerous.",True,"00:11:49,385","00:11:52,137","00:11:49,292","00:11:51,961"
"אז בואו פשוט נכרות את ראשו, .ונסיים עם זה","Well, let's just have his head, and be done with it.",True,"00:11:52,305","00:11:54,265","00:11:52,128","00:11:54,214"
.אנו זקוקים לכך שידבר,We need him to talk.,True,"00:12:00,147","00:12:01,898","00:12:00,136","00:12:02,680"
"לחמת מלחמות רבות והרגת, ,אנשים רבים, המלך תיאודן","You have fought many wars, and slain many men, Théoden King...",True,"00:12:04,651","00:12:08,321","00:12:04,557","00:12:08,811"
.ולאחר מכן עשית שלום,and made peace afterwards.,True,"00:12:08,530","00:12:10,615","00:12:08,978","00:12:10,480"
"לא נוכל להיוועץ יחד, ?כפי שעשינו פעם, ידידי הוותיק","Can we not take counsel together, as we once did, my old friend?",True,"00:12:10,741","00:12:15,620","00:12:10,647","00:12:15,568"
.יהיה לנו שלום,We shall have peace.,True,"00:12:19,124","00:12:20,791","00:12:19,155","00:12:21,032"
...יהיה לנו שלום,We shall have peace...,True,"00:12:23,004","00:12:24,671","00:12:22,992","00:12:25,078"
!והילדים ששוכבים מתים שם,and the children that lie dead there!,True,"00:12:29,677","00:12:32,137","00:12:29,499","00:12:32,210"
"שגופותיהם חוללו, בעודם שוכבים מתים","whose bodies were hewn, even as they lay dead...",True,"00:12:37,393","00:12:39,561","00:12:37,340","00:12:39,384"
"כשתתנודד על הגרדום, ,להנאת העורבים שלך","When you hang from a gibbet, for the sport of your own crows...",True,"00:12:44,776","00:12:49,613","00:12:44,681","00:12:50,228"
