Hebrew,English,Safe,Hebrew_st,Hebrew_e,English_st,English_e
.קפטן,Captain!,True,"00:02:56,397","00:02:57,197","00:02:56,636","00:02:57,762"
?זאת שוחה,Is that a trench?,True,"00:03:38,532","00:03:39,899","00:03:38,970","00:03:40,480"
.נראה שיש עוד בפנים,It looks like there's more of them inside.,True,"00:03:42,099","00:03:44,065","00:03:42,473","00:03:44,267"
.אקו-6-2 למפקדה,Echo 2-6 to command.,True,"00:03:49,066","00:03:50,332","00:03:49,188","00:03:50,816"
"קולונל, אנחנו רואים, ,שלושה קונגים ביער הצפוני","Colonel, we've got eyes on, three Kong in the north woods.",True,"00:03:51,899","00:03:54,199","00:03:52,025","00:03:54,319"
.אולי הבסיס קרוב,Maybe the base is near.,True,"00:03:56,899","00:03:58,099","00:03:57,196","00:03:58,656"
".כן, המפקד","Yes, sir.",True,"00:03:59,733","00:04:00,833","00:03:59,949","00:04:00,992"
".היי, חמור","Hey, donkey.",True,"00:04:10,600","00:04:11,966","00:04:10,793","00:04:12,237"
.פריצ'ר,Preacher.,True,"00:04:18,200","00:04:19,300","00:04:18,217","00:04:19,217"
.זה עם הרובה,The one with the gun.,True,"00:04:24,567","00:04:25,633","00:04:24,515","00:04:25,516"
".כן, המפקד, .כן, המפקד-","Yes, sir., Yes, sir.",True,"00:04:29,134","00:04:30,267","00:04:29,312","00:04:30,313"
!אש,Fire!,True,"00:04:50,068","00:04:51,401","00:04:50,416","00:04:51,416"
!קדימה,Come on!,True,"00:04:58,701","00:04:59,968","00:04:58,883","00:05:00,176"
!לטעון,Reload!,True,"00:06:21,004","00:06:22,070","00:06:21,424","00:06:22,433"
!לסגת! לסגת,Fall back! Fall back!,True,"00:07:18,639","00:07:20,206","00:07:18,815","00:07:20,817"
"?איפה אתה, חייל, .אני צריך את מיקומך","Where are you, soldier?, I need your position.",True,"00:07:47,973","00:07:50,072","00:07:48,386","00:07:50,346"
".אני לא יודע, ?מה אתה רואה-","I don't know!, What do you see?",True,"00:07:50,073","00:07:52,140","00:07:50,513","00:07:52,323"
".אני לא יכול לראות דבר, המפקד","I can't see anything, sir.",True,"00:07:52,707","00:07:54,106","00:07:52,890","00:07:54,267"
"איבדנו הרבה אנשים, .והקפטן נהרג, המפקד","We lost a lot of men,, and the captain is dead, sir.",True,"00:07:54,107","00:07:56,106","00:07:54,433","00:07:56,619"
".בסדר, תירגע, .אתה המפקד עכשיו","Okay, calm down., You're in command now.",True,"00:07:56,107","00:07:58,840","00:07:56,686","00:07:58,871"
...תפוס פיקוד,Take control.,True,"00:08:02,274","00:08:03,440","00:08:02,733","00:08:04,068"
",תקשיב לי, .תהרוג כמה שתוכל","Listen to me., You kill as many as you can.",True,"00:08:11,641","00:08:14,474","00:08:12,201","00:08:14,921"
.לא. לא. לא,"No! No, no!",True,"00:08:19,474","00:08:21,441","00:08:19,917","00:08:22,086"
.‏63 הרוגים,Sixty-three dead.,True,"00:09:37,010","00:09:38,943","00:09:37,620","00:09:39,538"
.חיפשנו אותך הרבה זמן,We've been searching for you for so long.,True,"00:09:49,477","00:09:51,444","00:09:49,799","00:09:51,701"
"שמענו שיש לך, ,בסיס פיקוד מוסתר","We heard you had, a hidden command base.",True,"00:09:52,244","00:09:54,111","00:09:52,635","00:09:54,470"
.אבל לא הצלחנו למצוא אותו,But we could never find it.,True,"00:09:54,277","00:09:55,677","00:09:54,553","00:09:56,147"
"חלקנו התחילו לחשוב, ,שאולי אתה מת","Some of us started to think, that you might be dead.",True,"00:09:56,277","00:09:58,676","00:09:56,514","00:09:58,808"
"אבל קולונל מקולו אמר, .שאתה נמצא איפשהו כאן","But Colonel McCullough said, you were out here somewhere.",True,"00:09:58,677","00:10:00,576","00:09:58,975","00:10:00,953"
".תהרגו אותנו כבר, !תסתום, גבר-","Just kill us already., Shut up, man!",True,"00:10:00,577","00:10:02,677","00:10:00,977","00:10:02,887"
.אני לא פתחתי במלחמה הזאת,I did not start this war.,True,"00:10:13,611","00:10:17,978","00:10:13,739","00:10:18,068"
.הקוף שעשה את זה מת,The ape who did is dead.,True,"00:10:19,245","00:10:21,978","00:10:19,412","00:10:22,340"
.קראו לו קובה,His name was Koba.,True,"00:10:23,645","00:10:25,612","00:10:24,000","00:10:26,135"
.אני הרגתי אותו,I killed him.,True,"00:10:26,645","00:10:28,045","00:10:27,044","00:10:28,487"
?כן,Yeah?,True,"00:10:35,412","00:10:36,412","00:10:35,894","00:10:36,894"
.הם ניסו להרוג אותי,They tried to kill me.,True,"00:10:50,079","00:10:51,879","00:10:50,276","00:10:52,403"
.הם מפחדים ממה שאעשה להם,They fear what I will do to them.,True,"00:10:52,679","00:10:56,013","00:10:53,070","00:10:56,140"
.רק כדי לשרוד,Just to survive.,True,"00:11:00,846","00:11:02,379","00:11:01,078","00:11:02,446"
.אני לא מפחד ממך,I don't fear you.,True,"00:11:04,346","00:11:07,146","00:11:04,749","00:11:07,501"
.אתה צריך לפחד,You must fear.,True,"00:11:11,113","00:11:13,846","00:11:11,422","00:11:14,225"
"כמה זמן לדעתך היערות, ?יוכלו להגן עליך","How long you think, woods can protect you?",True,"00:11:14,880","00:11:18,713","00:11:15,217","00:11:19,063"
.בני האדם יהרסו אותך,Humans destroy you.,True,"00:11:19,280","00:11:21,813","00:11:19,430","00:11:22,266"
.לקולונל שלהם יש את כל הכוח,Their Kerna has all power.,True,"00:11:23,147","00:11:26,747","00:11:23,434","00:11:27,338"
.עבורם הוא יותר מסתם בן אדם,"For them, he more than just human.",True,"00:11:27,880","00:11:31,914","00:11:28,230","00:11:32,134"
.הוא הכל,He everything.,True,"00:11:34,514","00:11:35,781","00:11:34,737","00:11:36,105"
.ואז כולכם תמותו,then all of you die.,True,"00:11:41,547","00:11:44,447","00:11:41,786","00:11:44,906"
"!ווינטר, קח את הבוגד החוצה",Winter! Take this traitor outside!,True,"00:11:51,614","00:11:54,548","00:11:52,338","00:11:54,548"
?מה לעשות עם בני האדם,What should we do with the humans?,True,"00:12:01,281","00:12:03,115","00:12:02,014","00:12:03,850"
?אתה משחרר אותנו,You're letting us go?,True,"00:12:18,415","00:12:19,749","00:12:18,614","00:12:19,890"
",ויש לי הודעה בשבילו",and I have a message for him.,True,"00:12:24,482","00:12:26,649","00:12:24,829","00:12:26,989"
"תשאירו לנו את היערות, .וההרג יכול להיפסק","Leave us the woods,, and the killing can stop.",True,"00:12:27,015","00:12:31,149","00:12:27,456","00:12:31,469"
".הם המסר, מוריס","They are the message, Maurice.",True,"00:12:44,816","00:12:46,883","00:12:45,182","00:12:46,984"
